爱情	(romantic) love
省	to save; economize; omit; province
剩	have as remainder; be left over; surplus
失败	be defeated; fail; lose
失望	disappointed; lose hope
师傅	master; qualified worker; teacher
十分	very; fully; 100%
实际	actual; reality; practice
实在	honest; in reality; honestly; indeed; certainly
使	to use; to make; to cause; enable; envoy; messenger
使用	to use; employ; apply; administer; manipulate
世纪	century
是否	whether (or not); if
适合	to suit; to fit
适应	to suit; to fit; adapt
收	receive; accept; collect; to harvest
收入	take in; income; revenue
收拾	to tidy; put in order; to repair; to settle with; punish
首都	capital (city)
首先	first (of all); in the first place; firstly
受不了	cannot endure; unbearable; can't stand
受到	receive (influence, restriction, etc.); be subjected to
售货员	salesclerk; shop assistant
输	to transport; to lose (a game, etc.)
熟悉	familiar with; know well
数量	amount; quantity; number
数字	number; numeral; figure; digit
帅	handsome; graceful; commander-in-chief
顺便	conveniently; in passing; on the way
顺利	go smoothly; without a hitch; successful
顺序	sequence; order
说明	explain; explanation; illustrate; to show
硕士	Master's degree (M.A.)
死	to die; dead; fixed; impassible; extremely
速度	speed; rate; velocity
塑料袋	plastic bag
酸	sour; sore; ache
随便	as one pleases; informal; random; casual
随着	along with; in the wake of
孙子	grandson; son's son
所有	all; to have; to possess
台	platform; Taiwan (abbr.); desk; stage; typhoon; (mw for machines); (classical) you (in letters)
抬	to lift; to raise (with both palms up); carry (together)
态度	manner; bearing; attitude
谈	to talk; to chat; discuss
弹钢琴	play the piano
汤	soup; broth
糖	sugar; candy; sweets
躺	recline; lie down (on back or side)
趟	(mw for trips times) | to wade
讨论	to discuss; discussion; to talk over
讨厌	to hate; loathe; disgusting; troublesome
特点	a characteristic; trait; feature
提	to carry; to lift; to raise (an issue)
提供	to supply; provide; furnish
提前	shift to an earlier date; bring forward; to advance
提醒	remind; call attention to; warn of
填空	fill in the blanks; fill a vacancy
条件	condition; circumstances; prerequisite
停	to stop; to halt; to park (a car)
挺	straighten up; stick out; rather (good); very
通过	by means of; through (a method); pass through; via
通知	notify; to inform; notice
同情	compassion; sympathy
同时	at the same time; simultaneously
推	to push; to scrape; to decline; postpone; elect
推迟	postpone; defer
脱	to shed; take off; to escape
袜子	socks; stockings
完全	complete; whole; totally
网球	tennis; tennis ball
网站	website
往往	often; frequently; more often than not
危险	danger; dangerous; perilous
卫生间	restroom; bathroom; water closet (WC)
味道	flavor; taste
温度	temperature
文章	article; essay
污染	pollution; contamination
无	have not; without; not (Kangxi radical 71)
无聊	nonsense; bored; silly; stupid
无论	no matter what; regardless of whether...
误会	to misunderstand; to mistake
西红柿	tomato
吸引	attract (interest, investment, etc.)
咸	salty; salted; all
现金	cash
羡慕	to envy; admire
相反	opposite; contrary
相同	identical; same; alike
香	fragrant; savory (Kangxi radical 186)
详细	detailed; in detail; minute
响	make a sound; to ring; echo
橡皮	rubber; an eraser
消息	news; information
小吃	snack; refreshments
小伙子	young man; lad; youngster
小说	novel; fiction
笑话	joke; laugh at
效果	effect; result
心情	mood; state of mind
辛苦	hard; exhausting; toilsome; laborious
信封	envelope
信息	information; news; message
信心	confidence; faith (in sb. or sth.)
兴奋	excitement； be excited
行	walk; be current; do; will do; okay
醒	wake up
幸福	happy; blessed; fortunate
性别	gender; sex; sexual distinction
性格	nature; personality; temperament
修理	to repair; perform maintenance; to overhaul
许多	many; a lot; much
学期	semester; school term
压力	pressure; stress
呀	ah; oh; (used for 啊 after words ending with a, e, i, o, or ü)
牙膏	toothpaste
亚洲	Asia
严格	strict; stringent; tight
严重	grave; serious; critical
研究	to study; to research
盐	salt
眼镜	glasses; spectacles
演出	to act (in a play); to perform; to put on a show; performance
演员	actor or actress; performer
阳光	sunshine; sunlight
养成	cultivate; acquire; to form
样子	manner; air; appearance; looks
邀请	to invite
要是	if; suppose; in case
钥匙	key
也许	perhaps; probably; maybe
叶子	leaves
页	page; leaf (Kangxi radical 181)
一切	all; every; everything
以	to use; according to; so as to; for; by
以为	think (mistakenly); consider (that); believe
艺术	art
意见	opinion; view; suggestion; complaint
因此	therefore; thus; that is why; because of this
引起	give rise to; lead to; to cause; arouse
印象	impression
赢	to win; to beat; to profit
应聘	accept a job offer; to apply for a job
永远	forever; eternal; always
勇敢	brave; courageous
优点	merit; good point; a strength; a benefit
优秀	outstanding; excellent
幽默	humorous
尤其	especially; particularly
由	follow; from; by; through
由于	due to; owing to; as a result of; thanks to
邮局	post office
友好	friendly (relations); close friends
友谊	friendship; companionship
有趣	interesting; fascinating; amusing
于是	as a result; thus; therefore
愉快	happy; cheerful; delightful
与	(formal) and; to give; together with; participate; final particle expressing doubt or surprise
羽毛球	badminton
语法	grammar
语言	language
预习	(of students) prepare a lesson before class; preview
原来	original; former; as it turns out
原谅	to excuse; forgive; to pardon
原因	cause; reason
约会	appointment; engagement; date
阅读	read; reading
云	cloud; Yunnan province | say; speak
允许	to permit; allow
杂志	magazine
咱们	we (including the listener); us; our
暂时	temporary; transient; for the moment
脏	filthy; dirty
责任	responsibility; blame; duty
增加	to increase; to raise; add
占线	the (phone) line is busy
招聘	recruitment; take job applications for a job
照	to shine; illuminate; according to
真正	genuine; real; true
整理	put in order; arrange; straighten up; to tidy; to pack (luggage)
正常	normal; regular; ordinary
正好	just (in time); just right; just enough; happen to; by chance
